Timestamp,What is your age limit?,What genres game do you like?,How long do you play games in average?,Please select your internet speed.,Can you please select the GPU that you are currently using?,"Can you please select an estimate of your monthly gaming cost(Including purchasing Game and Game Items , In app Purchase, And Net Bill)?",What is your preferred CPU model?,What do you seek in a game?,What is your RAM size?,Preference
10/7/2020 22:02:01,16-28,Action games.,1-1.5 hours,10mbps,"RX5000 series (Could be 5700xt,5600xt,5500xt)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,High
10/7/2020 22:04:21,16-28,Strategy games.,4-5hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,Story,8GB,Medium
10/7/2020 22:05:04,16-28,Action-adventure games.,4-5hours,5mbps,"RX500 series (Could be 590,580,570,560,550)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Medium
10/7/2020 22:06:38,16-28,Action-adventure games.,2-3hours,100mbps,"RX500 series (Could be 590,580,570,560,550)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Way to pass time,12GB,Medium
10/7/2020 22:09:11,16-28,Action-adventure games.,1-1.5 hours,15mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,16GB,High
10/7/2020 22:13:54,16-28,Strategy games.,2-3hours,10mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",3-6k (BDT),AMD (Ryzen),Story,16GB,High
10/7/2020 22:14:04,16-28,Action games.,2-3hours,5mbps,Lower,500-2k (BDT),Intel,Story,8GB,Low
10/7/2020 22:14:37,16-28,Action-adventure games.,2-3hours,40mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",3-6k (BDT),Intel,Story,16GB,High
10/7/2020 22:23:21,16-28,Action games.,2-3hours,15mbps,Lower,500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",12GB,Low
10/7/2020 22:26:04,16-28,Strategy games.,30-50min,5mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,16GB,Very High
10/7/2020 22:27:28,16-28,Action games.,2-3hours,20mbps,Lower,3-6k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/7/2020 22:31:13,16-28,Action-adventure games.,2-3hours,5mbps,"RX400 series (Could be 480,470,460,450)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,16GB,Medium
10/7/2020 22:31:30,16-28,Simulation games.,2-3hours,5mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),Intel,Way to pass time,16GB,High
10/7/2020 22:32:22,16-28,Action-adventure games.,2-3hours,40mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Gather Idea (Could be for Own Game Development Project as a game developer or other ),16GB,High
10/7/2020 22:33:56,16-28,Action games.,30-50min,10mbps,Lower,500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/7/2020 22:42:36,16-28,Action-adventure games.,9+ Hours,5mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/7/2020 22:49:31,16-28,Action-adventure games.,2-3hours,20mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )",15-26k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,Medium
10/7/2020 22:52:50,16-28,Action games.,1-1.5 hours,25mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",16GB, High
10/7/2020 22:55:05,16-28,Action-adventure games.,9+ Hours,50mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),Intel,Story,8GB,Medium
10/7/2020 22:56:24,16-28,Action games.,2-3hours,10mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/7/2020 22:58:38,16-28,Action-adventure games.,4-5hours,25mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Medium
10/7/2020 22:57:56,16-28,Action-adventure games.,2-3hours,5mbps,"RX400 series (Could be 480,470,460,450)",500-2k (BDT),Intel,Story,4GB,Low
10/7/2020 23:00:43,60+,Puzzle games.,9+ Hours,Gigabit,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",ARM Architecture (In future for low power consumption),Gather Idea (Could be for Own Game Development Project as a game developer or other ),512GB (Work Station),Very High
10/7/2020 23:00:48,16-28,Action-adventure games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Medium
10/7/2020 23:02:38,16-28,Action-adventure games.,2-3hours,15mbps,"RX400 series (Could be 480,470,460,450)",500-2k (BDT),Intel,Story,8GB,Low
10/7/2020 23:05:29,16-28,Action-adventure games.,2-3hours,15mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),Story,16GB,High
10/7/2020 23:06:24,16-28,Role-playing games.,4-5hours,Gigabit,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",15-26k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,High
10/7/2020 23:07:12,16-28,Action-adventure games.,2-3hours,5mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),Story,16GB,Very High
10/7/2020 23:07:57,16-28,Role-playing games.,1-1.5 hours,10mbps,Lower,500-2k (BDT),Intel,Story,8GB,Low
10/7/2020 23:10:12,16-28,Sports games.,1-1.5 hours,5mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Way to pass time,8GB,High
10/7/2020 23:10:56,16-28,Action games.,30-50min,15mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Gather Idea (Could be for Own Game Development Project as a game developer or other ),8GB,Low
10/7/2020 23:11:25,29-40,Action-adventure games.,30-50min,10mbps,"RX400 series (Could be 480,470,460,450)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Graphics (With or without Ray tracing on),8GB,Medium
10/7/2020 23:12:45,16-28,Action games.,1-1.5 hours,20mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,16GB,Very High
10/7/2020 23:19:11,16-28,Action games.,2-3hours,100mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),Intel,Way to pass time,32GB,Very High
